catalog_id,catalog_name,catalog_url,catalog_purpose,catalog_specialty,catalog_disease,match_name
10049,Age-Adjusted ESR/CRP for Rheumatoid Arthritis/none,https://www.mdcalc.com/calc/10049/age-adjusted-esr-crp-rheumatoid-arthritis,Formula,"Family Practice, Internal Medicine, Orthopedics, Primary Care, Rheumatology",Rheumatoid Arthritis,age adjusted esr crp for rheumatoid arthritis
3801,AIMS65 Score for Upper GI Bleeding Mortality,https://www.mdcalc.com/calc/3801/aims65-score-upper-gi-bleeding-mortality,Prognosis,"Critical Care, Gastroenterology","Bleeding/Hemorrhage, Gastrointestinal Bleeding",aims65 score for upper gi bleeding mortality
10018,AKIN Classification for Acute Kidney Injury (AKI)/none,https://www.mdcalc.com/calc/10018/akin-classification-acute-kidney-injury-aki,Diagnosis,"Critical Care, Family Practice, Hospitalist Medicine, Internal Medicine, Nephrology, Primary Care","Acute Kidney Injury, Renal Failure",akin classification for acute kidney injury aki
3164,Alberta Stroke Program Early CT Score (ASPECTS),https://www.mdcalc.com/calc/3164/alberta-stroke-program-early-ct-score-aspects,Prognosis,"Critical Care (Neurologic), Emergency Medicine, Internal Medicine, Neurology, Neurosurgery, Radiology",Stroke / Transient Ischemic Attack (TIA),alberta stroke program early ct score aspects
10070,ALBI (Albumin-Bilirubin) Grade for Hepatocellular Carcinoma (HCC),https://www.mdcalc.com/calc/10070/albi-albumin-bilirubin-grade-hepatocellular-carcinoma-hcc,Prognosis,"Gastroenterology, Hematology and Oncology, Hepatology, Hospitalist Medicine, Internal Medicine",Hepatocellular Carcinoma,albi albumin bilirubin grade for hepatocellular carcinoma hcc
10620,Aldrete Score/none,https://www.mdcalc.com/calc/10620/aldrete-score,Prognosis,"Critical Care, Critical Care (Pediatric), Emergency Medicine, Hospitalist Medicine, Internal Medicine, Surgery (General)",Respiratory Failure,aldrete score
3998,ALT-70 Score for Cellulitis,https://www.mdcalc.com/calc/3998/alt-70-score-cellulitis,Prognosis,"Dermatology, Family Practice, Internal Medicine",Cellulitis/Abscess,alt 70 score for cellulitis
10343,Altitude-Adjusted PERC Rule,https://www.mdcalc.com/calc/10343/altitude-adjusted-perc-rule,"Diagnosis, Rule Out","Cardiology, Critical Care, Emergency Medicine, Family Practice, Hematology and Oncology, Hospitalist Medicine, Internal Medicine, Primary Care, Pulmonology, Surgery (General)","Deep Venous Thrombosis, Pulmonary Embolism",altitude adjusted perc rule
617,Alvarado Score for Acute Appendicitis,https://www.mdcalc.com/calc/617/alvarado-score-acute-appendicitis,Diagnosis,"Emergency Medicine, Pediatrics, Surgery (General)",Appendicitis,alvarado score for acute appendicitis
4020,American Diabetes Association (ADA) Risk Calculator,https://www.mdcalc.com/calc/4020/american-diabetes-association-ada-risk-calculator,Diagnosis,"Endocrinology, Family Practice, Internal Medicine",Diabetes Mellitus,american diabetes association ada risk calculator
10439,American University of Beirut (AUB)-HAS2 Cardiovascular Risk Index,https://www.mdcalc.com/calc/10439/american-university-beirut-aub-has2-cardiovascular-risk-index,Prognosis,"Cardiology, Neurosurgery, Surgery (Cardiothoracic), Surgery (General), Surgery (Trauma), Surgery (Vascular)","Acute Coronary Syndrome, Heart Failure, Stroke / Transient Ischemic Attack (TIA)",american university of beirut aub has2 cardiovascular risk index
10462,American Urological Association Symptom Index (AUA-SI)/International Prostate Symptom Score (IPSS)/none,https://www.mdcalc.com/calc/10462/american-urological-association-symptom-index-aua-si,Prognosis,"Family Practice, Hematology and Oncology, Hospitalist Medicine, Internal Medicine, Urology",Benign Prostatic Hyperplasia,american urological association symptom index aua si international prostate symptom score ipss
10047,Ankylosing Spondylitis Disease Activity Score with CRP (ASDAS-CRP)/none,https://www.mdcalc.com/calc/10047/ankylosing-spondylitis-disease-activity-score-crp-asdas-crp,Diagnosis,"Rheumatology, Orthopedics",Rheumatoid Arthritis,ankylosing spondylitis disease activity score with crp asdas crp
10050,Ankylosing Spondylitis Disease Activity Score with ESR (ASDAS-ESR)/none,https://www.mdcalc.com/calc/10050/ankylosing-spondylitis-disease-activity-score-esr-asdas-esr,Diagnosis,"Rheumatology, Orthopedics",Rheumatoid Arthritis,ankylosing spondylitis disease activity score with esr asdas esr
4046,Antivenom Dosing Algorithm/none,https://www.mdcalc.com/calc/4046/antivenom-dosing-algorithm,Algorithm,"Emergency Medicine, Family Practice, Hospitalist Medicine, Internal Medicine, Pharmacy, Toxicology",Ingestion/Overdose,antivenom dosing algorithm
4060,Aortic Dissection Detection Risk Score (ADD-RS),https://www.mdcalc.com/calc/4060/aortic-dissection-detection-risk-score-add-rs,"Diagnosis, Rule Out","Emergency Medicine, Surgery (Cardiothoracic), Surgery (Vascular)",Acute Coronary Syndrome,aortic dissection detection risk score add rs
1868,APACHE II Score,https://www.mdcalc.com/calc/1868/apache-ii-score,Prognosis,"Critical Care, Emergency Medicine, Hospitalist Medicine, Internal Medicine, Surgery (General)","Coronavirus, Diabetes Mellitus, HIV/AIDS, Renal Failure, Sepsis",apache ii score
